FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221106;20221014;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Ayabaca ;Castilla;200104;29.67;0;29.66;0
20221106;20221014;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Castilla;200104;0;0;0;0
20221106;20221014;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Tambo Grande;200114;0;0;0;0
20221106;20221014;RIO PIURA;PTE. nACARA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Chulucanas;200401;0;0;0;0
20221106;20221014;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Sullana;200601;19.04;19.04;0;0
20221106;20221014;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Ayabaca ;Sullana;200601;5;5;5;0
20221106;20221014;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Ayabaca ;Sullana;200601;36.99;0;37;0
20221106;20221014;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Ayabaca ;Piura;200101;0;15.37;0;0
20221106;20221014;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Ayabaca ;Sullana;200601;23.3;23.4;23.7;0
20221106;20221014;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;58.44;0;0
20221106;20221014;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;3.56;0;0
20221106;20221014;SALIDA DE RESERVERIO;C. HUAYPIRA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;0.42;0.42;0.42;0
20221106;20221014;SALIDA DE RESERVERIO;C. DERIVACION;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;35.64;35.47;35.64;0
20221106;20221014;SALIDA DE RESERVERIO;C. MIGUEL CHECA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Lancones;200604;14.01;14.01;14.01;0
20221106;20221014;SALIDA DE RESERVERIO;TOTAL RIO CHIRA;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;4.99;22;0
20221106;20221014;SALIDA DE RESERVERIO;RIO CHIRA - TUNEL;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;4.99;22;0
20221106;20221014;SALIDA DE RESERVERIO;RIO CHIRA - ALIVIADERO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;0;0;0
20221106;20221014;RESERVORIO POECHOS;INCREMENTO VOL;mmc;PRESA;Piura;Ayabaca ;Lancones;200604;0;-3.5;0;0
20221106;20221014;RESERVORIO POECHOS;VOLUMEN;mmc;PRESA;Piura;Ayabaca ;Lancones;200604;277.2;0;280.7;0
20221106;20221014;RESERVORIO POECHOS;COTA REPRESA;msnm;PRESA;Piura;Ayabaca ;Lancones;200604;100.97;0;101.06;0
20221106;20221014;RESERVORIO POECHOS;ENTRADA;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;17.94;0;0
20221106;20221014;RIO QUIROZ;PARAJE GRANDE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;200210;0.5;0.5;0.5;0
20221106;20221014;RIO CHIRA;ARDILLA;m3/s;HIDROLOGICA;Piura;Ayabaca ;Lancones;200604;0;17.94;0;0
20221106;20221014;RIO CHIRA;EL CIRUELO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;200210;31;34.6;37;0
20221106;20221014;RIO MACARA;PUENTE INTERNACIONAL;m3/s;HIDROLOGICA;Piura;Ayabaca ;Suyo;200210;4.5;4.6;4.9;0
20221106;20221013;PRESA EJIDOS;CANAL PRINCIPAL;m3/s;HIDROMETRICA;Piura;Ayabaca ;Castilla;200104;10.7;10.93;0;0
20221106;20221013;PRESA EJIDOS;PTE. SANCHEZ CERRO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Castilla;200104;0;0;0;0
20221106;20221013;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Ayabaca ;Castilla;200104;29.62;0;29.79;0
20221106;20221013;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Ayabaca ;Castilla;200104;0;0;0;0
20221106;20221013;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Tambo Grande;200114;0;0;0;0
20221106;20221013;RIO PIURA;PTE. nACARA;m3/s;HIDROMETRICA;Piura;Ayabaca ;Chulucanas;200401;0;0;0;0
20221106;20221013;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Ayabaca ;Sullana;200601;19.04;19.06;0;0
20221106;20221013;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Ayabaca ;Sullana;200601;5;5;5;0
20221106;20221013;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Ayabaca ;Sullana;200601;36.99;0;36.99;0
20221106;20221013;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Ayabaca ;Piura;200101;0;15.75;0;0
20221106;20221013;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Ayabaca ;Sullana;200601;23.7;24.31;25.1;0
20221106;20221013;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Ayabaca ;Lancones;200604;0;58.85;0;0
